user,total_logons,unique_pcs,first_seen,last_seen,active_days,offhour_logons,weekend_logons
BTL0722,692,1,2010-01-04 07:44:00,2011-05-16 16:45:00,346,346,0
BTN0061,1132,17,2010-01-04 07:56:00,2011-05-16 19:00:00,346,598,0
BTR0403,1114,21,2010-01-04 07:59:00,2011-05-16 19:00:00,346,611,0
BTS0011,692,1,2010-01-04 07:19:00,2011-05-16 15:30:00,346,346,0
BTW0005,932,2,2010-01-04 07:24:00,2011-05-16 16:37:00,346,360,0
BVC0790,1585,3,2010-01-03 09:01:00,2011-05-16 18:21:00,438,544,320
BVN0514,236,2,2010-01-04 08:48:00,2010-06-08 16:57:00,110,0,0
BWH0813,692,1,2010-01-04 08:15:00,2011-05-16 20:30:00,346,346,0
BWP0202,1335,2,2010-01-04 07:14:00,2011-05-16 17:15:00,355,507,16
BXJ0010,692,1,2010-01-04 07:57:00,2011-05-16 17:51:00,346,330,0
BYP0070,476,1,2010-01-04 07:48:00,2010-12-09 18:08:00,238,243,0
CAA0612,959,1,2010-01-04 07:55:00,2011-05-16 16:59:00,346,155,0
CAB0388,956,1,2010-01-04 08:00:00,2011-05-16 15:59:00,346,165,0
CAB0614,1112,15,2010-01-04 07:53:00,2011-05-16 16:57:00,346,166,0
CAC0889,120,1,2010-01-04 09:06:00,2010-03-26 18:15:00,60,60,0
CAH0936,567,19,2010-01-04 07:02:00,2010-09-03 16:10:00,172,216,0
CAM0102,692,1,2010-01-04 07:13:00,2011-05-16 17:15:00,346,346,0
CAM0681,959,1,2010-01-04 08:48:00,2011-05-16 19:01:00,346,346,0
CAN0842,692,1,2010-01-04 08:20:00,2011-05-16 19:27:00,346,346,0
CAS0507,1201,3,2010-01-04 08:58:00,2011-05-16 17:02:00,347,19,1
CBB0365,3256,634,2010-01-04 00:58:37,2011-05-16 22:15:16,346,1818,0
CBG0398,692,1,2010-01-04 07:48:00,2011-05-16 18:50:00,346,518,0
CBG0490,692,1,2010-01-04 08:12:00,2011-05-16 17:08:00,346,0,0
CCA0046,1608,447,2010-01-04 05:57:35,2010-10-15 22:52:13,201,1222,0
CCC0393,692,1,2010-01-04 07:48:00,2011-05-16 18:52:00,346,512,0
CCH0182,692,1,2010-01-04 07:15:00,2011-05-16 18:13:00,346,692,0
CCH0685,1007,2,2010-01-04 08:54:00,2011-05-16 18:56:00,346,348,0
CCL0068,576,1,2010-01-04 07:50:00,2011-02-22 17:49:00,288,294,0
CCM0136,997,2,2010-01-04 08:50:00,2011-05-16 17:58:00,346,191,0
CCM0467,692,1,2010-01-04 07:50:00,2011-05-16 17:57:00,346,357,0
CCM0855,692,1,2010-01-04 07:36:00,2011-05-16 17:44:00,346,358,0
CCR0863,692,1,2010-01-04 07:40:00,2011-05-16 17:44:00,346,354,0
CCW0031,692,1,2010-01-04 07:38:00,2011-05-16 15:56:00,346,346,0
CCW0524,692,1,2010-01-04 08:45:00,2011-05-16 17:06:00,346,0,0
CEB0210,692,1,2010-01-04 07:42:00,2011-05-16 15:40:00,346,346,0
CEJ0109,636,1,2010-01-04 09:06:00,2011-04-05 18:28:00,318,318,0
CEL0561,961,1,2010-01-04 08:50:00,2011-05-16 18:00:00,346,210,0
CFG0959,874,2,2010-01-04 07:14:00,2011-05-16 16:15:00,346,372,0
CFM0767,1096,7,2010-01-04 08:16:00,2011-05-16 16:28:00,350,86,4
CFW0264,120,1,2010-01-04 07:18:00,2010-03-26 15:24:00,60,60,0
CGA0629,692,1,2010-01-04 07:49:00,2011-05-16 17:06:00,346,163,0
CGB0637,956,1,2010-01-04 09:06:00,2011-05-16 21:30:00,346,346,0
CGF0337,692,1,2010-01-04 07:14:00,2011-05-16 18:15:00,346,692,0
CHG0146,692,1,2010-01-04 08:18:00,2011-05-16 16:24:00,346,0,0
CHM0821,1221,3,2010-01-04 08:20:00,2011-05-16 19:36:00,346,522,0
CIG0052,692,1,2010-01-04 08:18:00,2011-05-16 17:33:00,346,0,0
CIM0271,997,3,2010-01-04 07:00:00,2011-05-16 17:14:00,346,354,0
CIM0926,460,2,2010-01-04 08:22:00,2010-11-24 19:44:00,229,231,0
CJC0494,692,1,2010-01-04 08:04:00,2011-05-16 17:13:00,346,0,0
CJF0802,1100,2,2010-01-04 08:04:00,2011-05-16 17:25:00,352,110,10
CJG0470,692,1,2010-01-04 07:54:00,2011-05-16 18:01:00,346,384,0
CJH0702,692,1,2010-01-04 07:43:00,2011-05-16 16:42:00,346,346,0
CJK0200,692,1,2010-01-04 07:24:00,2011-05-16 15:22:00,346,346,0
CJM0138,692,1,2010-01-04 08:55:00,2011-05-16 17:58:00,346,212,0
CJM0521,928,1,2010-01-02 08:47:00,2011-05-16 16:52:00,464,0,226
CJP0952,1034,2,2010-01-04 07:00:00,2011-05-16 16:06:00,348,385,3
CJV0286,963,1,2010-01-04 09:04:00,2011-05-16 18:18:00,346,346,0
CKB0427,692,1,2010-01-04 07:57:00,2011-05-16 16:58:00,346,155,0
CKB0482,692,1,2010-01-04 08:03:00,2011-05-16 17:14:00,346,0,0
CKD0680,692,1,2010-01-04 07:47:00,2011-05-16 16:00:00,346,159,0
CKH0144,692,1,2010-01-04 07:02:00,2011-05-16 17:06:00,346,346,0
CKP0721,692,1,2010-01-04 07:44:00,2011-05-16 16:51:00,346,346,0
CLB0774,848,1,2010-01-04 08:17:00,2011-05-16 16:37:00,357,153,17
CLD0894,692,1,2010-01-04 09:05:00,2011-05-16 18:04:00,346,346,0
CLF0852,1196,3,2010-01-04 07:34:00,2011-05-16 17:48:00,346,387,0
CLH0703,692,1,2010-01-04 07:33:00,2011-05-16 16:59:00,346,346,0
CLS0296,692,1,2010-01-04 08:54:00,2011-05-16 18:00:00,346,187,0
CMB0912,1378,46,2010-01-03 07:06:00,2011-05-16 16:12:00,423,488,220
CMM0487,692,1,2010-01-04 08:05:00,2011-05-16 17:08:00,346,0,0
CMS0454,692,1,2010-01-04 07:53:00,2011-05-16 18:05:00,346,353,0
CMW0783,692,1,2010-01-04 08:29:00,2011-05-16 16:28:00,346,0,0
CNB0900,692,1,2010-01-04 09:07:00,2011-05-16 18:12:00,346,346,0
CNE0352,692,1,2010-01-04 07:53:00,2011-05-16 16:55:00,346,174,0
CNM0800,692,1,2010-01-04 08:03:00,2011-05-16 17:08:00,346,0,0
COF0120,596,1,2010-01-04 09:00:00,2011-01-14 21:12:00,266,325,10
COM0321,692,1,2010-01-04 07:42:00,2011-05-16 15:36:00,346,346,0
CPG0322,1006,35,2010-01-04 07:44:00,2011-05-16 15:37:00,346,388,0
CQH0701,963,1,2010-01-04 07:45:00,2011-05-16 16:56:00,346,346,0
CQH0730,692,1,2010-01-04 07:52:00,2011-05-16 16:49:00,346,162,0
CQW0652,654,1,2010-01-04 09:15:00,2011-04-18 21:15:00,327,327,0
CRD0624,100,1,2010-01-04 07:48:00,2010-03-05 16:58:00,45,27,0
CRK0916,997,1,2010-01-04 08:18:00,2011-05-16 19:29:00,351,394,9
CRO0027,1009,3,2010-01-04 09:05:00,2011-05-16 18:19:00,348,362,4
CRP0456,692,1,2010-01-04 07:46:00,2011-05-16 18:09:00,346,369,0
CSB0080,692,1,2010-01-04 07:54:00,2011-05-16 16:52:00,346,160,0
CSC0217,934,289,2010-01-04 02:32:51,2010-06-11 22:27:10,113,706,0
CSH0626,1294,3,2010-01-04 08:00:00,2011-05-16 17:00:00,404,344,142
CSJ0340,692,1,2010-01-04 07:01:00,2011-05-16 18:08:00,346,692,0
CSL0949,692,1,2010-01-04 07:08:00,2011-05-16 16:22:00,346,346,0
CSP0197,1208,2,2010-01-04 08:12:00,2011-05-16 18:15:00,346,353,0
CTA0020,1010,4,2010-01-04 07:49:00,2011-05-16 18:00:00,346,506,0
CTR0341,1604,3,2010-01-02 07:14:00,2011-05-16 18:15:00,491,1192,447
CTR0697,963,1,2010-01-04 07:30:00,2011-05-16 16:43:00,346,354,0
CTW0500,692,1,2010-01-04 08:01:00,2011-05-16 17:10:00,346,0,0
CUD0795,692,1,2010-01-04 08:02:00,2011-05-16 17:13:00,346,0,0
CWB0065,1188,2,2010-01-04 07:10:00,2011-05-16 15:16:00,346,376,0
CWR0502,1122,2,2010-01-04 08:13:00,2011-05-16 17:29:00,346,0,0
CXC0336,692,1,2010-01-04 07:15:00,2011-05-16 18:11:00,346,692,0
CYA0506,210,1,2010-01-04 08:45:00,2010-06-01 17:09:00,105,0,0
DAG0558,692,1,2010-01-04 08:58:00,2011-05-16 17:59:00,346,189,0
DAL0673,993,3,2010-01-04 07:52:00,2011-05-16 16:00:00,346,160,0
DAR0885,116,5,2010-01-02 09:01:00,2010-02-08 04:27:31,38,55,33
DBB0384,692,1,2010-01-04 07:56:00,2011-05-16 16:12:00,346,174,0
DBG0261,692,1,2010-01-04 07:32:00,2011-05-16 16:45:00,346,346,0
DBS0235,748,29,2010-01-04 07:50:00,2011-05-16 19:00:00,346,530,0
DBW0483,691,1,2010-01-04 08:08:00,2011-05-16 17:24:00,346,0,0
DCC0160,692,1,2010-01-04 07:30:00,2011-05-16 18:43:00,346,692,0
DCH0843,588,1,2010-01-04 08:16:00,2011-02-23 19:23:00,290,299,2
DDA0476,692,1,2010-01-04 08:14:00,2011-05-16 17:28:00,346,0,0
DDM0579,692,1,2010-01-04 08:18:00,2011-05-16 18:30:00,346,346,0
DEB0782,692,1,2010-01-04 08:29:00,2011-05-16 16:35:00,346,0,0
DFH0188,1133,3,2010-01-04 07:00:00,2011-05-16 18:11:00,346,773,0
DFR0218,2714,614,2010-01-04 05:44:26,2011-05-16 19:37:05,346,2086,0
DGF0443,692,1,2010-01-04 07:58:00,2011-05-16 17:05:00,346,163,0
DGM0754,58,1,2010-01-04 07:58:00,2010-02-11 17:15:00,29,12,0
DGN0480,658,1,2010-01-04 08:07:00,2011-04-20 17:20:00,329,0,0
DGW0752,964,1,2010-01-04 07:59:00,2011-05-16 16:59:00,346,168,0
DHM0937,692,1,2010-01-04 07:11:00,2011-05-16 16:13:00,346,346,0
DIB0081,551,3,2010-01-04 08:00:00,2010-08-20 17:15:00,162,79,0
DIB0285,368,1,2010-01-04 09:09:00,2010-09-22 18:15:00,184,184,0
DIC0988,692,1,2010-01-04 07:43:00,2011-05-16 18:45:00,346,692,0
DID0650,692,1,2010-01-04 09:03:00,2011-05-16 21:07:00,346,346,0
DIW0118,1209,3,2010-01-04 07:00:00,2011-05-16 16:16:00,346,384,0
DJB0159,1002,2,2010-01-04 07:00:00,2011-05-16 16:17:00,346,349,0
DJS0682,692,1,2010-01-04 08:47:00,2011-05-16 18:55:00,346,346,0
DKB0631,692,1,2010-01-04 09:13:00,2011-05-16 21:10:00,346,346,0
DLF0377,692,1,2010-01-04 07:55:00,2011-05-16 15:58:00,346,165,0
DLH0029,692,1,2010-01-04 07:37:00,2011-05-16 18:44:00,346,692,0
DLM0051,1367,3,2010-01-03 06:50:00,2011-05-16 15:57:00,436,477,294
DLS0383,949,1,2010-01-04 08:00:00,2011-05-16 16:03:00,346,165,0
DMG0358,3038,633,2010-01-04 05:39:40,2011-05-16 18:25:02,346,1812,0
DMK0257,1160,2,2010-01-04 07:41:00,2011-05-16 16:39:00,356,495,16
DMM0623,982,1,2010-01-04 07:54:00,2011-05-16 17:00:00,355,164,9
DOL0332,692,1,2010-01-04 07:13:00,2011-05-16 18:12:00,346,692,0
DOP0562,692,1,2010-01-04 08:49:00,2011-05-16 17:51:00,346,183,0
DPM0423,914,2,2010-01-04 07:56:00,2011-05-16 18:05:00,346,382,0
DPS0262,254,1,2010-01-04 07:35:00,2010-06-09 16:48:00,113,143,4
DRR0162,512,1,2010-01-04 07:03:00,2011-01-07 16:16:00,256,256,0
DRR0242,884,1,2010-01-03 07:54:00,2011-05-16 18:13:00,442,443,188
DSB0731,692,1,2010-01-04 07:57:00,2011-05-16 16:51:00,346,170,0
DSM0591,692,1,2010-01-04 08:30:00,2011-05-16 18:24:00,346,346,0
DTP0379,1076,4,2010-01-04 07:52:00,2011-05-16 16:09:00,346,160,0
DTT0076,692,1,2010-01-04 07:45:00,2011-05-16 16:57:00,346,346,0
DVM0265,796,3,2010-01-04 07:29:00,2011-05-16 15:30:00,346,384,0
DVW0103,692,1,2010-01-04 07:10:00,2011-05-16 17:22:00,346,346,0
DZC0228,692,1,2010-01-04 07:49:00,2011-05-16 18:59:00,346,493,0
EAH0466,104,3,2010-01-04 07:59:00,2010-02-19 18:00:00,35,37,0
EBC0390,692,1,2010-01-04 07:48:00,2011-05-16 16:07:00,346,152,0
ECF0828,422,1,2010-01-04 08:16:00,2010-10-29 19:44:00,211,211,0
ECL0930,963,1,2010-01-04 07:02:00,2011-05-16 16:17:00,346,346,0
ECR0822,692,1,2010-01-04 08:23:00,2011-05-16 19:26:00,346,346,0
EDA0684,88,2,2010-01-04 08:47:00,2010-02-19 19:04:00,35,46,0
EDB0714,484,1,2010-01-04 07:41:00,2010-12-15 16:35:00,242,242,0
EFS0882,692,1,2010-01-04 09:04:00,2011-05-16 18:15:00,346,346,0
EGD0132,378,1,2010-01-04 08:54:00,2010-09-29 18:15:00,189,118,0
EGD0409,388,1,2010-01-04 07:47:00,2010-07-21 18:01:00,140,144,0
EGK0893,692,1,2010-01-04 09:04:00,2011-05-16 18:23:00,346,346,0
EHB0420,1651,3,2010-01-03 07:51:00,2011-05-16 18:05:00,442,645,321
EHB0824,328,1,2010-01-04 08:18:00,2010-08-17 19:29:00,159,169,0
EHD0584,641,3,2010-01-04 08:21:00,2010-10-28 18:45:00,211,237,2
EHR0096,692,1,2010-01-04 07:05:00,2011-05-16 17:23:00,346,346,0
EIM0156,692,1,2010-01-04 06:56:00,2011-05-16 16:56:00,346,346,0
EIP0997,692,1,2010-01-04 08:00:00,2011-05-16 19:10:00,346,346,0
EIS0041,3052,622,2010-01-04 02:24:32,2011-05-16 22:28:35,346,2141,0
EJW0884,691,1,2010-01-04 09:11:00,2011-05-16 18:12:00,346,346,0
ELB0847,762,3,2010-01-04 08:28:00,2011-05-16 19:23:00,346,391,0
ELH0960,692,1,2010-01-04 07:13:00,2011-05-16 16:19:00,346,346,0
ELT0769,692,1,2010-01-04 08:15:00,2011-05-16 16:19:00,346,0,0
EMB0531,965,1,2010-01-04 08:50:00,2011-05-16 16:58:00,346,0,0
EMS0317,692,1,2010-01-04 07:43:00,2011-05-16 15:40:00,346,346,0
EMW0105,692,1,2010-01-04 09:05:00,2011-05-16 18:11:00,346,346,0
EMW0772,722,3,2010-01-04 08:16:00,2011-05-16 16:27:00,346,0,0
ENC0234,771,2,2010-01-04 07:49:00,2011-01-12 18:55:00,259,385,0
ENL0100,692,1,2010-01-04 07:13:00,2011-05-16 17:09:00,346,346,0
EPW0434,692,1,2010-01-04 07:58:00,2011-05-16 17:00:00,346,167,0
ERH0449,692,1,2010-01-04 08:00:00,2011-05-16 18:07:00,346,349,0
ESA0642,692,1,2010-01-04 09:06:00,2011-05-16 21:01:00,346,346,0
ESH0135,692,1,2010-01-04 08:50:00,2011-05-16 17:58:00,346,187,0
ESH0283,762,35,2010-01-04 09:03:00,2011-05-16 18:10:00,346,365,0
ESJ0670,1030,3,2010-01-02 07:56:00,2011-05-16 15:56:00,471,211,258
ESR0693,384,2,2010-01-04 08:57:00,2010-08-31 18:52:00,169,172,0
ETR0177,692,1,2010-01-04 08:45:00,2011-05-16 18:41:00,346,346,0
ETR0428,834,3,2010-01-04 07:52:00,2011-05-16 16:52:00,346,165,0
EWH0191,959,1,2010-01-04 07:20:00,2011-05-16 15:27:00,346,346,0
EZH0736,692,1,2010-01-04 07:51:00,2011-05-16 16:59:00,346,160,0
EZT0640,1197,2,2010-01-04 09:11:00,2011-05-16 21:14:00,346,462,0
FAW0032,708,1,2010-01-04 07:26:00,2011-05-16 15:30:00,346,355,0
FBA0348,696,1,2010-01-04 08:15:00,2011-05-16 16:15:00,346,4,0
FBW0747,796,3,2010-01-04 07:54:00,2011-05-16 17:10:00,366,183,40
FDE0117,692,1,2010-01-04 08:00:00,2011-05-16 19:19:00,346,346,0
FEB0306,1118,2,2010-01-04 08:50:00,2011-05-16 18:00:00,346,228,0
FFC0891,745,2,2010-01-04 09:05:00,2010-10-08 18:08:00,199,253,5
