pc,total_requests,unique_users,unique_urls,unique_content_type,first_request,last_request,active_days,offhours_requests,weekdays_requests
PC-0215,55728,1,158,55728,2010-01-04,2011-05-16,344,2672,0
PC-0216,34600,1,159,34600,2010-01-04,2011-05-16,346,11,0
PC-0235,55890,1,117,55890,2010-01-04,2011-05-16,345,629,0
PC-0246,54378,1,365,54378,2010-01-02,2011-05-16,477,3437,14592
PC-0252,32870,1,119,32870,2010-01-04,2011-05-16,346,2248,0
PC-0253,39377,1,245,39377,2010-01-04,2011-05-16,346,0,0
PC-0262,10034,1,216,10034,2010-01-04,2011-05-16,346,1152,0
PC-0269,1323,1,97,1323,2010-01-02,2010-02-19,49,0,378
PC-0285,3114,1,53,3114,2010-01-04,2011-05-16,346,423,0
PC-0290,26695,1,357,26695,2010-01-04,2011-02-11,281,351,0
PC-0320,2110,1,136,2110,2010-01-04,2010-10-29,211,203,0
PC-0322,49478,1,409,49478,2010-01-04,2011-05-16,346,5197,0
PC-0330,65740,1,200,65740,2010-01-04,2011-05-16,346,5373,0
PC-0335,10034,1,126,10034,2010-01-04,2011-05-16,346,0,0
PC-0351,43320,1,173,43320,2010-01-04,2011-05-16,380,399,3876
PC-0365,9342,1,206,9342,2010-01-04,2011-05-16,346,113,0
PC-0369,10034,1,172,10034,2010-01-04,2011-05-16,346,1011,0
PC-0377,3460,1,76,3460,2010-01-04,2011-05-16,346,174,0
PC-0378,3460,1,180,3460,2010-01-04,2011-05-16,346,458,0
PC-0379,3460,1,189,3460,2010-01-04,2011-05-16,346,201,0
PC-0384,74034,1,81,74034,2010-01-03,2011-05-16,457,3658,16524
PC-0389,10034,1,169,10034,2010-01-04,2011-05-16,346,0,0
PC-0391,32870,1,175,32870,2010-01-04,2011-05-16,346,0,0
PC-0393,10005,1,103,10005,2010-01-04,2011-05-16,345,0,0
PC-0422,55890,1,243,55890,2010-01-04,2011-05-16,345,2458,0
PC-0426,32870,1,202,32870,2010-01-04,2011-05-16,346,4944,0
PC-0427,39444,1,222,39444,2010-01-04,2011-05-16,346,374,0
PC-0435,46400,1,310,46400,2010-01-02,2011-05-16,464,0,11500
PC-0441,7290,1,146,7290,2010-01-04,2010-03-05,45,125,0
PC-0444,10005,1,268,10005,2010-01-04,2011-05-16,345,2117,0
PC-0461,32870,1,210,32870,2010-01-04,2011-05-16,346,1510,0
PC-0467,15876,1,128,15876,2010-01-04,2010-05-20,98,150,0
PC-0470,32870,1,304,32870,2010-01-04,2011-05-16,346,1708,0
PC-0474,34600,1,214,34600,2010-01-04,2011-05-16,346,0,0
PC-0494,32870,1,304,32870,2010-01-04,2011-05-16,346,0,0
PC-0507,16720,1,122,16720,2010-01-04,2010-09-10,176,215,0
PC-0508,34600,1,363,34600,2010-01-04,2011-05-16,346,394,0
PC-0514,10034,1,125,10034,2010-01-04,2011-05-16,346,1048,0
PC-0524,7656,1,87,7656,2010-01-04,2011-01-06,264,758,203
PC-0532,56052,1,106,56052,2010-01-04,2011-05-16,346,654,0
PC-0576,32870,1,264,32870,2010-01-04,2011-05-16,346,0,0
PC-0603,32870,1,187,32870,2010-01-04,2011-05-16,346,551,0
PC-0616,3460,1,133,3460,2010-01-04,2011-05-16,346,0,0
PC-0623,2225,1,179,2225,2010-01-04,2010-10-29,210,322,0
PC-0642,10034,1,121,10034,2010-01-04,2011-05-16,346,0,0
PC-0647,56052,1,366,56052,2010-01-04,2011-05-16,346,2469,0
PC-0653,3460,1,165,3460,2010-01-04,2011-05-16,346,180,0
PC-0669,10005,1,68,10005,2010-01-04,2011-05-16,345,0,0
PC-0683,39444,1,174,39444,2010-01-04,2011-05-16,346,3942,0
PC-0692,56052,1,169,56052,2010-01-04,2011-05-16,346,0,0
PC-0697,72770,1,116,72770,2010-01-04,2011-05-16,383,769,6270
PC-0724,10034,1,171,10034,2010-01-04,2011-05-16,346,0,0
PC-0728,4698,1,188,4698,2010-01-04,2010-02-11,29,31,0
PC-0731,39444,1,288,39444,2010-01-04,2011-05-16,346,396,0
PC-0741,32870,1,162,32870,2010-01-04,2011-05-16,346,247,0
PC-0745,3460,1,211,3460,2010-01-04,2011-05-16,346,475,0
PC-0751,3460,1,85,3460,2010-01-04,2011-05-16,346,326,0
PC-0768,34600,1,201,34600,2010-01-04,2011-05-16,346,7243,0
PC-0772,32870,1,207,32870,2010-01-04,2011-05-16,346,316,0
PC-0777,32870,1,167,32870,2010-01-04,2011-05-16,346,3214,0
PC-0779,3460,1,112,3460,2010-01-04,2011-05-16,346,304,0
PC-0780,49478,1,327,49478,2010-01-04,2011-05-16,346,0,0
PC-0795,56052,1,136,56051,2010-01-04,2011-05-16,346,512,0
PC-0800,32870,1,174,32870,2010-01-04,2011-05-16,346,261,0
PC-0814,24789,1,134,24789,2010-01-04,2010-08-09,153,1434,0
PC-0818,10034,1,116,10034,2010-01-04,2011-05-16,346,2230,0
PC-0836,2375,1,97,2375,2010-01-04,2010-02-03,25,30,190
PC-0839,10034,1,167,10034,2010-01-04,2011-05-16,346,0,0
PC-0840,13137,1,148,13137,2010-01-02,2011-05-16,453,310,2987
PC-0843,37145,1,337,37145,2010-01-02,2011-05-16,391,602,3800
PC-0898,3460,1,114,3460,2010-01-04,2011-05-16,346,0,0
PC-0902,32870,1,166,32870,2010-01-04,2011-05-16,346,0,0
PC-0908,39336,1,238,39336,2010-01-04,2011-05-16,346,3431,0
PC-0925,39444,1,182,39444,2010-01-04,2011-05-16,346,3526,0
PC-0926,46740,1,124,46740,2010-01-02,2011-05-16,492,1353,13300
PC-0928,32870,1,188,32870,2010-01-04,2011-05-16,346,516,0
PC-0967,56052,1,294,56052,2010-01-04,2011-05-16,346,501,0
PC-0969,32870,1,337,32870,2010-01-04,2011-05-16,346,4680,0
PC-0982,22800,1,266,22800,2010-01-04,2010-12-13,240,3513,0
PC-0985,32870,1,165,32870,2010-01-04,2011-05-16,346,2405,0
PC-1005,10034,1,182,10034,2010-01-04,2011-05-16,346,2144,0
PC-1013,32870,1,301,32870,2010-01-04,2011-05-16,346,227,0
PC-1017,56052,1,134,56052,2010-01-04,2011-05-16,346,567,0
PC-1038,10034,1,91,10034,2010-01-04,2011-05-16,346,0,0
PC-1039,1450,1,59,1450,2010-01-04,2010-03-12,50,13,0
PC-1069,10034,1,186,10034,2010-01-04,2011-05-16,346,2146,0
PC-1099,10034,1,130,10034,2010-01-04,2011-05-16,346,2236,0
PC-1107,32870,1,259,32870,2010-01-04,2011-05-16,346,1540,0
PC-1108,32775,1,328,32775,2010-01-04,2011-05-16,345,342,0
PC-1109,10034,1,138,10034,2010-01-04,2011-05-16,346,1058,0
PC-1117,34400,1,190,34400,2010-01-04,2011-05-16,344,7388,0
PC-1130,25175,1,254,25175,2010-01-04,2011-01-20,265,0,0
PC-1165,3450,1,129,3450,2010-01-04,2011-05-16,345,0,0
PC-1182,3460,1,102,3460,2010-01-04,2011-05-16,346,199,0
PC-1187,9976,1,158,9976,2010-01-04,2011-05-16,344,0,0
PC-1208,3450,1,128,3450,2010-01-04,2011-05-16,345,0,0
PC-1232,65740,1,164,65740,2010-01-04,2011-05-16,346,6122,0
PC-1243,10034,1,108,10034,2010-01-04,2011-05-16,346,95,0
PC-1246,32870,1,173,32870,2010-01-04,2011-05-16,346,3587,0
PC-1247,10034,1,135,10034,2010-01-04,2011-05-16,346,0,0
PC-1268,17596,1,162,17596,2010-01-04,2010-09-22,184,0,0
PC-1275,31825,1,329,31825,2010-01-04,2011-04-29,335,519,0
PC-1279,32870,1,107,32870,2010-01-04,2011-05-16,346,1942,0
PC-1281,32870,1,277,32870,2010-01-04,2011-05-16,346,0,0
PC-1282,3460,1,115,3460,2010-01-04,2011-05-16,346,186,0
PC-1283,39330,1,240,39330,2010-01-04,2011-05-16,345,0,0
PC-1289,58820,1,138,58820,2010-01-04,2011-05-16,346,527,0
PC-1301,32870,1,142,32870,2010-01-04,2011-05-16,346,306,0
PC-1307,10034,1,137,10034,2010-01-04,2011-05-16,346,2149,0
PC-1312,1073,1,161,1073,2010-01-02,2010-02-07,37,14,348
PC-1313,74205,1,304,74205,2010-01-02,2011-05-16,485,3200,20349
PC-1332,49478,1,116,49478,2010-01-04,2011-05-16,346,0,0
PC-1377,56052,1,151,56052,2010-01-04,2011-05-16,346,3187,0
PC-1389,3450,1,126,3450,2010-01-04,2011-05-16,345,42,0
PC-1394,10034,1,186,10034,2010-01-04,2011-05-16,346,0,0
PC-1395,32870,1,260,32870,2010-01-04,2011-05-16,346,0,0
PC-1397,10034,1,93,10034,2010-01-04,2011-05-16,346,2113,0
PC-1436,39330,1,109,39330,2010-01-04,2011-05-16,345,0,0
PC-1474,12312,1,218,12312,2010-01-04,2010-06-04,108,1191,0
PC-1476,39444,1,111,39444,2010-01-04,2011-05-16,346,363,0
PC-1478,49478,1,303,49478,2010-01-04,2011-05-16,346,526,0
PC-1479,56052,1,280,56052,2010-01-04,2011-05-16,346,624,0
PC-1480,39330,1,211,39330,2010-01-04,2011-05-16,345,3081,0
PC-1485,39444,1,187,39444,2010-01-04,2011-05-16,346,3982,0
PC-1500,55890,1,337,55890,2010-01-04,2011-05-16,345,691,0
PC-1514,32870,1,159,32870,2010-01-04,2011-05-16,346,336,0
PC-1518,10034,1,156,10034,2010-01-04,2011-05-16,346,938,0
PC-1521,32870,1,210,32870,2010-01-04,2011-05-16,346,318,0
PC-1526,3460,1,53,3460,2010-01-04,2011-05-16,346,209,0
PC-1528,39444,1,266,39444,2010-01-04,2011-05-16,346,3286,0
PC-1532,3460,1,179,3460,2010-01-04,2011-05-16,346,0,0
PC-1572,10034,1,93,10034,2010-01-04,2011-05-16,346,0,0
PC-1586,38880,1,280,38880,2010-01-03,2011-05-16,432,771,7200
PC-1590,32870,1,367,32870,2010-01-04,2011-05-16,346,556,0
PC-1593,56052,1,194,56052,2010-01-04,2011-05-16,346,0,0
PC-1609,1766,1,47,1766,2010-01-04,2010-10-08,197,6,1
PC-1611,32870,1,183,32870,2010-01-04,2011-05-16,346,0,0
PC-1620,3460,1,85,3460,2010-01-04,2011-05-16,346,473,0
PC-1622,3460,1,121,3460,2010-01-04,2011-05-16,346,198,0
PC-1637,23750,1,249,23750,2010-01-04,2010-12-29,250,1644,0
PC-1648,32870,1,238,32870,2010-01-04,2011-05-16,346,1241,0
PC-1651,56052,1,237,56052,2010-01-04,2011-05-16,346,2103,0
PC-1658,3460,1,81,3460,2010-01-04,2011-05-16,346,221,0
PC-1677,10380,1,88,10380,2010-01-04,2011-05-16,346,0,0
PC-1708,5017,1,145,5017,2010-01-04,2010-09-07,173,0,0
PC-1725,32775,1,291,32775,2010-01-04,2011-05-16,345,2481,0
PC-1736,49478,1,177,49478,2010-01-04,2011-05-16,346,2470,0
PC-1745,39444,1,307,39444,2010-01-04,2011-05-16,346,0,0
PC-1772,49478,1,196,49478,2010-01-04,2011-05-16,346,1976,0
PC-1783,3460,1,167,3460,2010-01-04,2011-05-16,346,0,0
PC-1786,23277,1,259,23277,2010-01-04,2010-12-20,246,235,0
PC-1795,9342,1,139,9342,2010-01-04,2011-05-16,346,89,0
PC-1805,32870,1,174,32870,2010-01-04,2011-05-16,346,455,0
PC-1809,27551,1,260,27551,2010-01-04,2011-02-24,290,372,0
PC-1813,10005,1,164,10005,2010-01-04,2011-05-16,345,2091,0
PC-1837,65740,1,189,65740,2010-01-04,2011-05-16,346,693,0
PC-1841,32870,1,222,32870,2010-01-04,2011-05-16,346,0,0
PC-1845,39216,1,366,39216,2010-01-04,2011-05-16,344,0,0
PC-1849,32870,1,253,32870,2010-01-04,2011-05-16,346,4945,0
PC-1874,32870,1,100,32870,2010-01-04,2011-05-16,346,4067,0
PC-1887,10034,1,234,10034,2010-01-04,2011-05-16,346,724,0
PC-1893,32775,1,141,32775,2010-01-04,2011-05-16,345,3369,0
PC-1896,65740,1,274,65740,2010-01-04,2011-05-16,346,0,0
PC-1917,4420,1,121,4420,2010-01-02,2011-05-16,442,266,930
PC-1933,32870,1,235,32870,2010-01-04,2011-05-16,346,354,0
PC-1940,7524,1,201,7524,2010-01-04,2010-04-06,66,0,0
PC-1941,1740,1,74,1740,2010-01-04,2010-03-26,60,0,0
PC-1949,3460,1,146,3460,2010-01-04,2011-05-16,346,90,0
PC-1980,32870,1,178,32870,2010-01-04,2011-05-16,346,302,0
PC-1998,58650,1,174,58650,2010-01-04,2011-05-16,345,3118,0
PC-2017,98610,1,329,98610,2010-01-04,2011-05-16,346,944,0
PC-2024,56052,1,152,56052,2010-01-04,2011-05-16,346,2386,0
PC-2030,2525,1,129,2525,2010-01-04,2010-12-13,240,399,0
PC-2046,32870,1,213,32870,2010-01-04,2011-05-16,346,0,0
PC-2057,10034,1,158,10034,2010-01-04,2011-05-16,346,0,0
PC-2059,3460,1,90,3460,2010-01-04,2011-05-16,346,53,0
PC-2064,32870,1,149,32870,2010-01-04,2011-05-16,346,6880,0
PC-2066,52938,1,158,52938,2010-01-04,2011-05-16,346,2418,0
PC-2069,49335,1,318,49335,2010-01-04,2011-05-16,345,0,0
PC-2072,10034,1,311,10034,2010-01-04,2011-05-16,346,900,0
PC-2077,3460,1,159,3460,2010-01-04,2011-05-16,346,38,0
PC-2085,3460,1,89,3460,2010-01-04,2011-05-16,346,46,0
PC-2094,39330,1,59,39330,2010-01-04,2011-05-16,345,1675,0
PC-2110,32870,1,105,32870,2010-01-04,2011-05-16,346,0,0
PC-2113,40300,1,336,40300,2010-01-02,2011-05-16,403,3022,4900
PC-2119,32870,1,183,32870,2010-01-04,2011-05-16,346,558,0
PC-2123,32775,1,269,32775,2010-01-04,2011-05-16,345,6828,0
PC-2124,39403,1,202,39403,2010-01-04,2011-05-16,346,0,0
PC-2125,10034,1,158,10034,2010-01-04,2011-05-16,346,0,0
PC-2131,3450,1,96,3450,2010-01-04,2011-05-16,345,0,0
PC-2139,55198,1,251,55198,2010-01-04,2011-05-16,386,0,4576
PC-2143,49478,1,96,49478,2010-01-04,2011-05-16,346,2395,0
PC-2164,56052,1,259,56052,2010-01-04,2011-05-16,346,2928,0
PC-2173,3450,1,164,3450,2010-01-04,2011-05-16,345,488,0
PC-2174,65740,1,162,65740,2010-01-04,2011-05-16,346,10997,0
PC-2177,32870,1,80,32870,2010-01-04,2011-05-16,346,292,0
PC-2181,3460,1,109,3460,2010-01-04,2011-05-16,346,489,0
PC-2187,32870,1,299,32870,2010-01-04,2011-05-16,346,332,0
PC-2191,10005,1,79,10005,2010-01-04,2011-05-16,345,0,0
PC-2211,18306,1,124,18306,2010-01-03,2010-05-06,113,791,4050
PC-2231,65740,1,168,65740,2010-01-04,2011-05-16,346,525,0
PC-2244,19116,1,120,19116,2010-01-03,2010-05-14,118,0,3726
PC-2266,32870,1,212,32870,2010-01-04,2011-05-16,346,512,0
PC-2271,10034,1,98,10034,2010-01-04,2011-05-16,346,0,0
PC-2276,17202,1,230,17202,2010-01-04,2010-09-03,172,2204,0
PC-2288,14268,1,143,14268,2010-01-02,2011-05-16,492,0,3944
PC-2289,3460,1,112,3460,2010-01-04,2011-05-16,346,0,0
PC-2321,44650,1,260,44650,2010-01-02,2011-05-16,470,457,11305
PC-2335,56052,1,214,56052,2010-01-04,2011-05-16,346,2042,0
PC-2343,10034,1,159,10034,2010-01-04,2011-05-16,346,0,0
PC-2344,24551,1,214,24551,2010-01-04,2010-11-05,216,2704,0
PC-2349,59292,1,187,59292,2010-01-04,2011-05-16,366,534,3078
PC-2363,32870,1,331,32870,2010-01-04,2011-05-16,346,3424,0
PC-2368,3460,1,161,3460,2010-01-04,2011-05-16,346,175,0
PC-2370,32775,1,245,32775,2010-01-04,2011-05-16,345,3686,0
PC-2381,56052,1,292,56052,2010-01-04,2011-05-16,346,2346,0
PC-2393,34600,1,308,34600,2010-01-04,2011-05-16,346,3381,0
PC-2408,4878,1,109,4878,2010-01-04,2010-08-24,164,0,0
PC-2417,72720,1,238,72720,2010-01-02,2011-05-16,404,767,10440
PC-2422,3460,1,185,3460,2010-01-04,2011-05-16,346,508,0
PC-2439,3450,1,154,3450,2010-01-04,2011-05-16,345,0,0
PC-2441,55890,1,260,55890,2010-01-04,2011-05-16,345,570,0
PC-2461,10034,1,220,10034,2010-01-04,2011-05-16,346,2164,0
PC-2462,39444,1,131,39444,2010-01-04,2011-05-16,346,376,0
PC-2464,26733,1,176,26733,2010-01-04,2010-08-25,165,1563,0
PC-2479,3460,1,149,3460,2010-01-04,2011-05-16,346,320,0
PC-2499,10034,1,181,10034,2010-01-04,2011-05-16,346,0,0
PC-2511,56052,1,229,56052,2010-01-04,2011-05-16,346,0,0
PC-2512,28745,1,210,28745,2010-01-04,2010-10-15,201,1032,0
PC-2524,27086,1,158,27086,2010-01-04,2010-12-10,239,2469,0
PC-2531,61722,1,180,61722,2010-01-04,2011-05-16,381,2972,4374
PC-2550,31140,1,142,31140,2010-01-04,2011-05-16,346,4917,0
PC-2552,32870,1,183,32870,2010-01-04,2011-05-16,346,2885,0
PC-2559,29754,1,143,29753,2010-01-04,2011-01-14,261,6226,0
PC-2560,37368,1,106,37368,2010-01-04,2011-05-16,346,4561,0
PC-2567,32870,1,149,32870,2010-01-04,2011-05-16,346,319,0
PC-2574,32870,1,127,32870,2010-01-04,2011-05-16,346,0,0
PC-2582,56052,1,260,56052,2010-01-04,2011-05-16,346,2287,0
PC-2638,14158,1,153,14158,2010-01-04,2010-08-03,149,183,0
PC-2640,3450,1,198,3450,2010-01-04,2011-05-16,345,0,0
PC-2645,7569,1,159,7569,2010-01-04,2011-01-14,261,1568,0
PC-2661,23329,1,371,23329,2010-01-04,2010-07-27,144,273,0
PC-2662,10034,1,113,10034,2010-01-04,2011-05-16,346,0,0
PC-2674,32870,1,137,32870,2010-01-04,2011-05-16,346,0,0
PC-2684,49478,1,246,49478,2010-01-04,2011-05-16,346,439,0
PC-2690,32870,1,121,32870,2010-01-04,2011-05-16,346,327,0
PC-2697,4490,1,136,4490,2010-01-03,2011-05-16,449,59,980
PC-2709,32870,1,221,32870,2010-01-04,2011-05-16,346,298,0
PC-2725,3325,1,141,3325,2010-01-04,2010-02-19,35,112,0
PC-2731,50479,1,153,50479,2010-01-04,2011-05-16,353,2757,0
PC-2744,6815,1,92,6815,2010-01-02,2010-09-10,235,0,1682
PC-2763,3190,1,74,3190,2010-01-04,2010-06-08,110,0,0
PC-2765,3460,1,84,3460,2010-01-04,2011-05-16,346,45,0
PC-2766,65740,1,70,65740,2010-01-04,2011-05-16,346,659,0
PC-2768,10034,1,153,10034,2010-01-04,2011-05-16,346,912,0
PC-2770,3450,1,257,3450,2010-01-04,2011-05-16,345,320,0
PC-2775,841,1,58,841,2010-01-04,2010-02-11,29,0,0
PC-2777,32680,1,211,32680,2010-01-04,2011-05-16,344,1408,0
PC-2804,38380,1,174,38380,2010-01-02,2011-05-16,404,317,5415
PC-2806,3450,1,116,3450,2010-01-04,2011-05-16,345,456,0
PC-2813,10034,1,167,10034,2010-01-04,2011-05-16,346,0,0
PC-2843,3460,1,197,3460,2010-01-04,2011-05-16,346,233,0
PC-2879,26463,1,217,26463,2010-01-04,2010-11-30,231,508,0
PC-2891,32870,1,202,32870,2010-01-04,2011-05-16,346,3434,0
PC-2896,32870,1,225,32870,2010-01-04,2011-05-16,346,0,0
PC-2904,20412,1,112,20412,2010-01-04,2010-06-30,126,973,0
PC-2915,98610,1,339,98610,2010-01-04,2011-05-16,346,8689,0
PC-2924,10034,1,117,10034,2010-01-04,2011-05-16,346,978,0
PC-2930,32775,1,169,32775,2010-01-04,2011-05-16,345,3430,0
PC-2940,34600,1,147,34600,2010-01-04,2011-05-16,346,350,0
PC-2948,15438,1,255,15438,2010-01-04,2010-07-16,136,1492,0
PC-2996,3460,1,72,3460,2010-01-04,2011-05-16,346,497,0
PC-3000,32870,1,168,32870,2010-01-04,2011-05-16,346,5078,0
PC-3005,56052,1,164,56052,2010-01-04,2011-05-16,346,0,0
PC-3014,32870,1,212,32870,2010-01-04,2011-05-16,346,4842,0
PC-3020,32870,1,176,32870,2010-01-04,2011-05-16,346,1869,0
PC-3054,98610,1,415,98610,2010-01-04,2011-05-16,346,0,0
PC-3093,56052,1,166,56052,2010-01-04,2011-05-16,346,0,0
PC-3094,32870,1,164,32870,2010-01-04,2011-05-16,346,3399,0
PC-3118,37368,1,225,37368,2010-01-04,2011-05-16,346,347,0
PC-3120,32870,1,211,32870,2010-01-04,2011-05-16,346,4848,0
PC-3124,32775,1,192,32775,2010-01-04,2011-05-16,345,280,0
PC-3126,10034,1,153,10034,2010-01-04,2011-05-16,346,986,0
PC-3135,44118,1,208,44118,2010-01-04,2011-05-16,387,7160,4332
PC-3142,32870,1,184,32870,2010-01-04,2011-05-16,346,266,0
PC-3196,46710,1,139,46710,2010-01-04,2011-05-16,346,473,0
PC-3201,21755,1,151,21755,2010-01-04,2010-11-24,229,1440,0
PC-3227,3450,1,155,3450,2010-01-04,2011-05-16,345,309,0
PC-3233,10034,1,169,10034,2010-01-04,2011-05-16,346,0,0
PC-3263,13300,1,115,13300,2010-01-04,2010-07-21,140,81,0
PC-3268,3096,1,117,3096,2010-01-04,2011-05-16,344,0,0
PC-3285,56052,1,121,56052,2010-01-04,2011-05-16,346,0,0
PC-3291,32870,1,115,32870,2010-01-04,2011-05-16,346,3395,0
PC-3296,32775,1,179,32775,2010-01-04,2011-05-16,345,306,0
PC-3297,55890,1,252,55890,2010-01-04,2011-05-16,345,525,0
PC-3301,32870,1,325,32870,2010-01-04,2011-05-16,346,3779,0
PC-3311,56052,1,297,56052,2010-01-04,2011-05-16,346,4131,0
PC-3324,34600,1,76,34600,2010-01-04,2011-05-16,346,3281,0
PC-3343,49478,1,256,49478,2010-01-04,2011-05-16,346,2595,0
PC-3372,23465,1,155,23465,2010-01-04,2010-12-22,247,2181,0
PC-3375,52938,1,174,52938,2010-01-04,2011-05-16,346,0,0
PC-3378,3460,1,98,3460,2010-01-04,2011-05-16,346,54,0
PC-3379,10034,1,170,10034,2010-01-04,2011-05-16,346,2113,0
PC-3401,28617,1,227,28617,2010-01-04,2010-12-30,252,419,3
PC-3406,56052,1,191,56051,2010-01-04,2011-05-16,346,717,0
PC-3424,32870,1,122,32870,2010-01-04,2011-05-16,346,1457,0
PC-3430,32870,1,159,32870,2010-01-04,2011-05-16,346,3923,0
PC-3446,12852,1,161,12852,2010-01-02,2011-05-16,476,1372,3267
PC-3449,9603,1,176,9603,2010-01-04,2011-04-18,327,2083,0
PC-3451,56052,1,133,56052,2010-01-04,2011-05-16,346,0,0
PC-3459,32870,1,253,32870,2010-01-04,2011-05-16,346,3275,0
PC-3465,32870,1,122,32870,2010-01-04,2011-05-16,346,287,0
PC-3467,10034,1,262,10034,2010-01-04,2011-05-16,346,0,0
PC-3469,10034,1,203,10034,2010-01-04,2011-05-16,346,2151,0
PC-3476,9342,1,71,9342,2010-01-04,2011-05-16,346,0,0
PC-3494,32870,1,111,32870,2010-01-04,2011-05-16,346,3412,0
PC-3505,10034,1,235,10034,2010-01-04,2011-05-16,346,2128,0
PC-3534,32870,1,148,32870,2010-01-04,2011-05-16,346,3782,0
PC-3543,10034,1,172,10034,2010-01-04,2011-05-16,346,996,0
PC-3559,32870,1,170,32870,2010-01-04,2011-05-16,346,2803,0
PC-3567,56052,1,291,56052,2010-01-04,2011-05-16,346,2491,0
PC-3571,4800,1,151,4800,2010-01-02,2011-05-16,480,0,1270
PC-3579,350,1,67,350,2010-01-04,2010-02-19,35,3,0
PC-3581,32870,1,291,32870,2010-01-04,2011-05-16,346,3093,0
PC-3587,10034,1,314,10034,2010-01-04,2011-05-16,346,0,0
PC-3605,39444,1,171,39444,2010-01-04,2011-05-16,346,1891,0
PC-3620,56052,1,161,56052,2010-01-04,2011-05-16,346,572,0
PC-3622,3460,1,129,3460,2010-01-04,2011-05-16,346,47,0
PC-3629,32870,1,278,32870,2010-01-04,2011-05-16,346,315,0
PC-3640,43035,1,167,43035,2010-01-03,2011-05-16,453,5344,9880
PC-3651,31540,1,149,31540,2010-01-04,2011-04-26,332,288,0
PC-3672,28561,1,185,28561,2010-01-03,2010-10-03,238,87,5280
PC-3675,3460,1,111,3460,2010-01-04,2011-05-16,346,0,0
PC-3682,32870,1,150,32870,2010-01-04,2011-05-16,346,588,0
PC-3683,3800,1,104,3800,2010-01-03,2010-02-17,40,44,665
PC-3684,32870,1,210,32870,2010-01-04,2011-05-16,346,494,0
PC-3686,33440,1,64,33440,2010-01-04,2011-05-16,352,314,285
PC-3687,32870,1,122,32870,2010-01-04,2011-05-16,346,253,0
PC-3695,39444,1,312,39444,2010-01-04,2011-05-16,346,3637,0
PC-3723,9342,1,134,9342,2010-01-04,2011-05-16,346,952,0
PC-3733,34500,1,93,34500,2010-01-04,2011-05-16,345,1398,0
PC-3735,32870,1,339,32870,2010-01-04,2011-05-16,346,0,0
PC-3737,56052,1,279,56052,2010-01-04,2011-05-16,346,0,0
PC-3738,32870,1,122,32870,2010-01-04,2011-05-16,346,336,0
PC-3742,32870,1,172,32870,2010-01-04,2011-05-16,346,325,0
PC-3752,32870,1,210,32870,2010-01-04,2011-05-16,346,384,0
PC-3764,32870,1,176,32870,2010-01-04,2011-05-16,346,1240,0
PC-3772,32870,1,117,32870,2010-01-04,2011-05-16,346,277,0
PC-3785,52164,1,270,52164,2010-01-04,2011-04-11,322,442,0
PC-3791,38165,1,194,38165,2010-01-04,2011-04-29,335,78,0
PC-3814,3460,1,146,3460,2010-01-04,2011-05-16,346,478,0
PC-3815,52938,1,164,52938,2010-01-04,2011-05-16,346,3642,0
PC-3819,68400,1,178,68400,2010-01-03,2011-05-16,456,5310,15450
