user,total_files,unique_pcs,sensitive_files,avg_file_length,top_file_extension
MPT0376,1054,1054,132,369.0,doc
MSO0222,1,1,0,468.0,exe
MTB0620,1971,1971,132,370.0,doc
MTT0901,187,187,27,353.0,doc
MVB0515,1777,1777,167,346.0,doc
MYD0978,15,15,3,340.0,doc
NAF0326,2446,2446,147,368.0,doc
NDM0417,1284,1284,114,369.0,doc
NGC0058,200,200,15,364.0,doc
NGF0157,305,305,29,371.0,doc
NKP0236,299,299,28,386.0,doc
NMS0280,321,321,38,362.0,doc
NOB0181,1703,1703,230,372.0,doc
NWT0098,702,702,65,363.5,doc
OBH0499,594,594,29,371.0,doc
OCS0865,873,873,76,373.0,doc
OLW0689,1242,1242,127,372.0,doc
PAD0773,2558,2558,331,375.0,doc
PDH0716,1723,1723,142,370.0,doc
PMC0328,656,656,67,375.0,doc
PMV0850,490,490,47,377.5,doc
PNH0761,2106,2106,183,376.0,doc
PNL0301,296,296,26,366.5,doc
PPF0435,1,1,0,427.0,pdf
PSF0133,449,449,24,369.0,doc
QJR0688,1069,1069,104,368.0,doc
QOS0878,127,127,15,353.0,doc
QRM0739,8401,8401,266,374.0,doc
RAB0589,2,2,0,374.0,doc
RAR0725,355,355,36,369.0,doc
RAW0915,459,459,40,375.0,doc
RDT0424,464,464,40,367.5,doc
RGG0064,12,12,3,323.0,doc
RHL0992,370,370,32,362.5,doc
RHO0732,855,855,45,361.0,doc
RKD0604,49,49,2,347.0,doc
RLG0856,334,334,27,374.5,doc
RMW0542,330,330,46,376.5,doc
RNP0211,2638,2638,273,368.0,doc
RRC0553,1342,1342,128,369.0,doc
RRP0568,1450,1450,131,370.0,doc
RSC0089,865,865,88,368.0,doc
RSM0277,393,393,38,378.0,doc
RUM0880,2199,2199,213,375.0,doc
RVF0201,252,252,37,356.0,doc
SAA0999,8468,8468,477,364.0,doc
SAB0781,1441,1441,205,364.0,doc
SBH0537,428,428,38,369.5,doc
SBN0866,5864,5864,388,375.0,doc
SBN0971,577,577,57,384.0,doc
SCP0130,1615,1615,161,378.0,doc
SGM0021,2596,2596,294,367.0,doc
SJO0209,372,372,29,376.0,doc
SMY0792,1209,1209,137,376.0,doc
SNC0187,2321,2321,286,366.0,doc
TAP0551,21,21,2,383.0,doc
TDS0984,3378,3378,324,368.0,doc
THR0873,8525,8525,613,368.0,doc
TNM0961,526,526,55,365.0,doc
TSR0676,532,532,40,367.0,doc
UAD0771,1873,1873,269,371.0,doc
USH0199,142,142,16,361.0,doc
VCC0396,1616,1616,130,371.0,doc
VFM0814,122,122,11,360.0,doc
VIA0063,8524,8524,723,373.0,doc
VMJ0546,3373,3373,337,378.0,doc
VSA0230,389,389,35,366.0,doc
VSS0154,405,405,41,374.0,doc
VTT0385,409,409,38,381.0,doc
WBC0192,415,415,59,357.0,doc
WDD0366,6,6,1,352.0,doc
WIF0691,8267,8267,711,371.0,doc
WIQ0567,1955,1955,171,369.0,doc
WXH0872,826,826,36,366.5,doc
XAA0104,437,437,38,361.0,doc
XHW0498,386,386,23,375.0,doc
XWD0923,5915,5915,711,366.0,doc
ZKS0899,8537,8537,704,365.0,doc
