pc,total_logons,unique_users,first_seen,last_seen,active_days
PC-0205,1049,27,2010-01-04 07:00:00,2011-05-16 18:11:00,347
PC-0215,760,27,2010-01-04 07:32:00,2011-05-16 19:37:05,346
PC-0216,1061,29,2010-01-04 09:05:00,2011-05-16 18:19:00,348
PC-0235,762,21,2010-01-04 07:51:00,2011-05-16 16:54:00,346
PC-0246,1426,32,2010-01-02 08:15:00,2011-05-16 19:39:00,477
PC-0252,768,20,2010-01-04 08:22:00,2011-05-16 19:26:00,346
PC-0253,692,1,2010-01-04 08:12:00,2011-05-16 16:28:00,346
PC-0262,758,24,2010-01-04 07:10:00,2011-05-16 16:11:00,347
PC-0269,108,6,2010-01-02 08:53:00,2010-02-19 21:16:59,49
PC-0285,784,25,2010-01-04 07:00:00,2011-05-16 16:19:00,346
PC-0290,840,23,2010-01-04 07:50:00,2011-02-11 16:08:00,281
PC-0320,472,21,2010-01-04 08:16:00,2010-10-29 19:41:00,211
PC-0322,1023,24,2010-01-04 07:10:00,2011-05-16 17:13:00,346
PC-0330,774,27,2010-01-04 07:26:00,2011-05-16 15:32:00,347
PC-0335,759,24,2010-01-04 09:11:00,2011-05-16 18:12:00,346
PC-0351,850,31,2010-01-04 07:53:00,2011-05-16 17:56:00,380
PC-0365,866,28,2010-01-04 08:18:00,2011-05-16 16:30:00,353
PC-0369,746,21,2010-01-04 07:14:00,2011-05-16 18:15:00,346
PC-0377,1042,23,2010-01-04 07:45:00,2011-05-16 16:39:00,346
PC-0378,748,24,2010-01-04 01:25:06,2011-05-16 16:25:00,346
PC-0379,1056,29,2010-01-04 07:40:00,2011-05-16 17:00:00,346
PC-0384,1367,26,2010-01-03 07:41:00,2011-05-16 15:37:00,458
PC-0389,798,32,2010-01-04 08:56:00,2011-05-16 17:08:00,348
PC-0391,756,26,2010-01-04 08:01:00,2011-05-16 17:11:00,346
PC-0393,766,24,2010-01-04 08:45:00,2011-05-16 17:06:00,346
PC-0422,798,29,2010-01-04 07:32:00,2011-05-16 22:28:35,348
PC-0426,1043,22,2010-01-04 08:26:00,2011-05-16 20:38:00,346
PC-0427,778,25,2010-01-04 07:50:00,2011-05-16 17:03:00,346
PC-0435,1377,34,2010-01-02 08:20:00,2011-05-16 17:17:00,464
PC-0441,108,5,2010-01-04 07:48:00,2010-03-05 16:58:00,46
PC-0444,770,24,2010-01-04 09:03:00,2011-05-16 21:07:00,347
PC-0461,780,30,2010-01-04 07:45:00,2011-05-16 16:59:00,346
PC-0467,222,13,2010-01-04 07:55:00,2010-05-20 16:56:00,99
PC-0470,1041,28,2010-01-04 07:34:00,2011-05-16 16:45:00,346
PC-0474,1043,30,2010-01-04 09:00:00,2011-05-16 17:49:00,346
PC-0494,748,22,2010-01-04 08:58:00,2011-05-16 17:59:00,348
PC-0507,400,19,2010-01-04 07:48:00,2010-09-10 15:59:00,176
PC-0508,772,24,2010-01-04 07:52:00,2011-05-16 16:52:00,346
PC-0514,780,28,2010-01-04 07:15:00,2011-05-16 18:13:00,347
PC-0524,588,21,2010-01-04 07:00:00,2011-01-06 18:10:00,265
PC-0532,780,31,2010-01-04 07:52:00,2011-05-16 16:49:00,347
PC-0576,767,23,2010-01-04 08:56:00,2011-05-16 18:00:00,348
PC-0603,768,25,2010-01-04 07:52:00,2011-05-16 18:59:00,346
PC-0616,1022,24,2010-01-04 08:20:00,2011-05-16 18:30:00,346
PC-0623,472,21,2010-01-04 07:03:00,2010-10-29 16:12:00,211
PC-0642,756,22,2010-01-04 09:04:00,2011-05-16 18:15:00,346
PC-0647,1036,26,2010-01-04 07:34:00,2011-05-16 17:48:00,346
PC-0653,768,26,2010-01-04 07:42:00,2011-05-16 16:45:00,346
PC-0669,1054,32,2010-01-04 09:05:00,2011-05-16 18:10:00,346
PC-0683,772,23,2010-01-04 07:13:00,2011-05-16 17:13:00,346
PC-0692,800,36,2010-01-04 08:15:00,2011-05-16 17:10:00,347
PC-0697,1155,28,2010-01-04 07:57:00,2011-05-16 18:12:00,384
PC-0724,1057,29,2010-01-04 09:05:00,2011-05-16 18:12:00,347
PC-0728,66,4,2010-01-04 07:58:00,2010-02-11 17:15:00,29
PC-0731,784,29,2010-01-04 07:54:00,2011-05-16 16:52:00,347
PC-0741,1117,27,2010-01-04 08:56:00,2011-05-16 17:50:00,348
PC-0745,758,25,2010-01-04 07:08:00,2011-05-16 16:15:00,347
PC-0751,770,26,2010-01-04 08:30:00,2011-05-16 19:34:00,346
PC-0768,1057,27,2010-01-04 09:10:00,2011-05-16 21:17:00,348
PC-0772,764,27,2010-01-04 07:57:00,2011-05-16 15:56:00,346
PC-0777,782,27,2010-01-04 07:02:00,2011-05-16 17:14:00,347
PC-0779,752,21,2010-01-04 08:23:00,2011-05-16 19:26:00,346
PC-0780,768,29,2010-01-04 08:18:00,2011-05-16 16:24:00,348
PC-0795,1046,28,2010-01-04 07:59:00,2011-05-16 16:50:00,348
PC-0800,1057,30,2010-01-04 07:49:00,2011-05-16 18:04:00,348
PC-0814,344,13,2010-01-04 07:42:00,2010-08-09 15:45:00,153
PC-0818,796,29,2010-01-04 09:13:00,2011-05-16 21:10:00,348
PC-0836,77,5,2010-01-04 07:50:00,2010-02-03 18:00:00,25
PC-0839,754,23,2010-01-04 09:11:00,2011-05-16 18:23:00,348
PC-0840,1545,29,2010-01-02 08:24:00,2011-05-16 16:34:00,460
PC-0843,920,28,2010-01-02 07:56:00,2011-05-16 16:55:00,401
PC-0898,1024,24,2010-01-04 08:55:00,2011-05-16 18:01:00,346
PC-0902,1035,27,2010-01-04 08:05:00,2011-05-16 17:03:00,346
PC-0908,692,1,2010-01-04 07:22:00,2011-05-16 15:22:00,346
PC-0925,794,32,2010-01-04 07:24:00,2011-05-16 15:22:00,349
PC-0926,1657,28,2010-01-02 07:46:00,2011-05-16 16:58:00,494
PC-0928,772,24,2010-01-04 05:22:30,2011-05-16 18:58:00,346
PC-0967,766,23,2010-01-04 07:56:00,2011-05-16 17:02:00,346
PC-0969,766,26,2010-01-04 08:29:00,2011-05-16 20:33:00,347
PC-0982,717,21,2010-01-04 08:15:00,2010-12-13 20:29:00,240
PC-0985,766,26,2010-01-04 08:22:00,2011-05-16 19:28:00,346
PC-1005,774,24,2010-01-04 09:14:00,2011-05-16 21:12:00,346
PC-1013,768,27,2010-01-04 07:57:00,2011-05-16 18:04:00,348
PC-1017,782,28,2010-01-04 07:51:00,2011-05-16 16:58:00,346
PC-1038,1045,29,2010-01-04 08:20:00,2011-05-16 16:33:00,346
PC-1039,148,7,2010-01-04 07:46:00,2010-03-12 17:15:00,50
PC-1069,1043,27,2010-01-04 09:11:00,2011-05-16 21:14:00,347
PC-1099,1026,19,2010-01-04 09:10:00,2011-05-16 21:14:00,347
PC-1107,768,28,2010-01-04 07:31:00,2011-05-16 16:57:00,346
PC-1108,770,27,2010-01-04 07:53:00,2011-05-16 17:57:00,348
PC-1109,760,21,2010-01-04 07:13:00,2011-05-16 18:12:00,346
PC-1117,1038,26,2010-01-04 09:02:00,2011-05-16 21:14:00,347
PC-1130,590,22,2010-01-04 08:05:00,2011-01-20 17:14:00,265
PC-1165,1047,22,2010-01-04 08:23:00,2011-05-16 18:45:00,347
PC-1182,762,25,2010-01-04 07:35:00,2011-05-16 16:59:00,347
PC-1187,1052,28,2010-01-04 08:57:00,2011-05-16 16:52:00,349
PC-1208,746,21,2010-01-04 08:58:00,2011-05-16 17:48:00,347
PC-1232,770,27,2010-01-04 07:19:00,2011-05-16 15:30:00,347
PC-1243,1087,21,2010-01-04 08:58:00,2011-05-16 17:07:00,349
PC-1246,754,21,2010-01-04 07:05:00,2011-05-16 16:13:00,346
PC-1247,794,31,2010-01-04 08:55:00,2011-05-16 22:35:48,348
PC-1268,418,20,2010-01-04 09:09:00,2010-09-22 18:15:00,184
PC-1275,728,21,2010-01-04 07:52:00,2011-04-29 19:05:00,335
PC-1279,1174,25,2010-01-04 07:41:00,2011-05-16 16:39:00,356
PC-1281,754,20,2010-01-04 08:18:00,2011-05-16 17:26:00,346
PC-1282,1041,26,2010-01-04 07:30:00,2011-05-16 16:43:00,347
PC-1283,1051,26,2010-01-04 08:04:00,2011-05-16 18:16:00,346
PC-1289,1075,36,2010-01-04 07:55:00,2011-05-16 16:59:00,347
PC-1301,1035,27,2010-01-04 08:53:00,2011-05-16 18:56:00,346
PC-1307,792,32,2010-01-04 09:06:00,2011-05-16 21:02:00,346
PC-1312,92,2,2010-01-02 09:01:00,2010-02-08 04:27:31,38
PC-1313,1441,27,2010-01-02 07:33:00,2011-05-16 17:53:00,486
PC-1332,780,25,2010-01-04 08:13:00,2011-05-16 17:16:00,347
PC-1377,938,25,2010-01-04 07:38:00,2011-05-16 22:15:16,356
PC-1389,770,27,2010-01-04 08:00:00,2011-05-16 18:07:00,346
PC-1394,772,31,2010-01-04 08:18:00,2011-05-16 16:43:00,347
PC-1395,790,30,2010-01-04 08:53:00,2011-05-16 17:56:00,347
PC-1397,798,33,2010-01-04 09:04:00,2011-05-16 21:17:00,348
PC-1436,762,24,2010-01-04 08:45:00,2011-05-16 18:41:00,347
PC-1474,216,1,2010-01-04 07:15:00,2010-06-04 15:45:00,108
PC-1476,768,27,2010-01-04 07:49:00,2011-05-16 18:03:00,346
PC-1478,778,27,2010-01-04 08:00:00,2011-05-16 15:53:00,347
PC-1479,1042,23,2010-01-04 07:56:00,2011-05-16 17:09:00,346
PC-1480,760,24,2010-01-04 07:19:00,2011-05-16 16:35:00,347
PC-1485,1060,31,2010-01-04 07:19:00,2011-05-16 15:38:00,348
PC-1500,746,21,2010-01-04 07:51:00,2011-05-16 16:57:00,346
PC-1514,756,22,2010-01-04 07:58:00,2011-05-16 17:05:00,346
PC-1518,786,29,2010-01-04 07:01:00,2011-05-16 18:08:00,346
PC-1521,764,22,2010-01-04 07:49:00,2011-05-16 16:59:00,346
PC-1526,758,19,2010-01-04 07:42:00,2011-05-16 16:39:00,347
PC-1528,1043,22,2010-01-04 07:15:00,2011-05-16 15:23:00,348
PC-1532,736,17,2010-01-04 08:21:00,2011-05-16 18:23:00,346
PC-1572,770,24,2010-01-04 09:07:00,2011-05-16 18:15:00,346
PC-1586,1427,25,2010-01-03 07:51:00,2011-05-16 18:05:00,442
PC-1590,778,28,2010-01-04 07:50:00,2011-05-16 19:00:00,347
PC-1593,752,23,2010-01-04 08:14:00,2011-05-16 17:28:00,347
PC-1609,597,14,2010-01-04 08:20:00,2010-10-08 18:30:00,198
PC-1611,766,26,2010-01-04 09:03:00,2011-05-16 18:10:00,347
PC-1620,756,25,2010-01-04 07:09:00,2011-05-16 16:15:00,347
PC-1622,784,31,2010-01-04 07:37:00,2011-05-16 16:48:00,346
PC-1637,732,20,2010-01-04 08:20:00,2010-12-29 19:28:00,250
PC-1648,761,24,2010-01-04 08:00:00,2011-05-16 19:11:00,346
PC-1651,752,21,2010-01-04 07:30:00,2011-05-16 17:49:00,346
PC-1658,774,22,2010-01-04 07:34:00,2011-05-16 16:58:00,347
PC-1677,756,25,2010-01-04 08:53:00,2011-05-16 16:56:00,346
PC-1708,400,21,2010-01-04 09:00:00,2010-09-07 18:13:00,173
PC-1725,1154,25,2010-01-04 08:24:00,2011-05-16 19:36:00,353
PC-1736,1029,22,2010-01-04 07:32:00,2011-05-16 21:27:01,346
PC-1745,692,1,2010-01-04 08:13:00,2011-05-16 16:13:00,346
PC-1772,766,25,2010-01-04 08:00:00,2011-05-16 19:19:00,346
PC-1783,770,28,2010-01-04 08:54:00,2011-05-16 18:05:00,346
PC-1786,558,24,2010-01-04 07:46:00,2010-12-20 18:02:00,246
PC-1795,1066,30,2010-01-04 07:48:00,2011-05-16 17:11:00,348
PC-1805,752,23,2010-01-04 07:46:00,2011-05-16 16:15:00,347
PC-1809,660,24,2010-01-04 07:57:00,2011-02-24 16:55:00,291
PC-1813,796,28,2010-01-04 09:02:00,2011-05-16 21:29:00,346
PC-1837,864,28,2010-01-04 09:03:00,2011-05-16 18:18:00,356
PC-1841,776,27,2010-01-04 08:11:00,2011-05-16 17:10:00,347
PC-1845,758,23,2010-01-04 09:05:00,2011-05-16 18:11:00,347
PC-1849,1053,33,2010-01-04 08:22:00,2011-05-16 20:27:00,346
PC-1874,792,28,2010-01-04 06:56:00,2011-05-16 16:56:00,349
PC-1887,768,26,2010-01-04 08:21:00,2011-05-16 19:43:00,347
PC-1893,764,25,2010-01-04 07:02:00,2011-05-16 17:06:00,346
PC-1896,776,26,2010-01-04 09:15:00,2011-05-16 18:08:00,346
PC-1917,967,27,2010-01-02 07:37:00,2011-05-16 16:51:00,443
PC-1933,1031,24,2010-01-04 07:56:00,2011-05-16 17:08:00,347
PC-1940,132,1,2010-01-04 08:05:00,2010-04-06 16:28:00,66
PC-1941,142,10,2010-01-04 09:06:00,2010-03-26 18:15:00,60
PC-1949,882,28,2010-01-04 07:48:00,2011-05-16 18:08:03,349
PC-1980,772,26,2010-01-04 07:52:00,2011-05-16 17:09:00,346
PC-1998,1089,21,2010-01-04 07:33:00,2011-05-16 17:57:00,349
PC-2017,758,27,2010-01-04 07:55:00,2011-05-16 16:59:00,347
PC-2024,768,24,2010-01-04 07:45:00,2011-05-16 18:25:02,346
PC-2030,720,21,2010-01-04 07:04:00,2010-12-13 16:22:00,241
PC-2046,1032,27,2010-01-04 09:12:00,2011-05-16 18:15:00,346
PC-2057,772,24,2010-01-04 09:00:00,2011-05-16 17:55:00,347
PC-2059,788,29,2010-01-04 07:55:00,2011-05-16 17:55:00,347
PC-2064,772,25,2010-01-04 09:13:00,2011-05-16 21:12:00,347
PC-2066,1051,29,2010-01-04 07:45:00,2011-05-16 17:44:00,346
PC-2069,758,25,2010-01-04 08:05:00,2011-05-16 17:27:00,346
PC-2072,768,23,2010-01-04 07:08:00,2011-05-16 18:05:00,346
PC-2077,752,20,2010-01-04 07:48:00,2011-05-16 17:57:00,348
PC-2085,1038,28,2010-01-04 07:48:00,2011-05-16 17:57:00,347
PC-2094,786,31,2010-01-04 07:38:00,2011-05-16 17:44:00,347
PC-2110,798,33,2010-01-04 09:10:00,2011-05-16 18:09:00,347
PC-2113,1209,24,2010-01-02 08:22:00,2011-05-16 19:30:00,404
PC-2119,778,25,2010-01-04 07:49:00,2011-05-16 18:57:00,347
PC-2123,764,23,2010-01-04 09:13:00,2011-05-16 21:24:00,346
PC-2124,692,1,2010-01-04 08:01:00,2011-05-16 16:12:00,346
PC-2125,780,26,2010-01-04 08:55:00,2011-05-16 17:03:00,346
PC-2131,794,28,2010-01-04 08:56:00,2011-05-16 18:03:00,346
PC-2139,1158,27,2010-01-04 08:55:00,2011-05-16 17:58:00,387
PC-2143,762,23,2010-01-04 07:30:00,2011-05-16 15:42:00,347
PC-2164,758,21,2010-01-04 07:30:00,2011-05-16 15:42:00,347
PC-2173,1036,27,2010-01-02 14:06:32,2011-05-16 16:11:00,348
PC-2174,1193,20,2010-01-04 07:04:00,2011-05-16 15:14:00,357
PC-2177,1021,26,2010-01-04 07:54:00,2011-05-16 17:56:00,347
PC-2181,1025,25,2010-01-04 07:13:00,2011-05-16 16:25:00,346
PC-2187,774,24,2010-01-04 07:14:05,2011-05-16 16:59:00,346
PC-2191,756,25,2010-01-04 08:46:00,2011-05-16 16:56:00,346
PC-2211,338,12,2010-01-03 07:41:00,2010-05-06 17:35:00,113
PC-2231,772,26,2010-01-04 07:57:00,2011-05-16 21:39:17,346
PC-2244,270,14,2010-01-03 08:05:00,2010-05-14 17:15:00,119
PC-2266,762,26,2010-01-04 07:49:00,2011-05-16 19:00:00,346
PC-2271,1047,30,2010-01-04 08:45:00,2011-05-16 16:57:00,347
PC-2276,531,17,2010-01-04 07:02:00,2010-09-03 16:10:00,172
PC-2288,1056,24,2010-01-02 08:52:00,2011-05-16 16:57:00,492
PC-2289,770,25,2010-01-04 08:58:00,2011-05-16 18:09:00,348
PC-2321,1024,30,2010-01-02 07:56:00,2011-05-16 15:56:00,472
PC-2335,1036,28,2010-01-04 07:45:00,2011-05-16 17:57:00,347
PC-2343,790,30,2010-01-04 08:18:00,2011-05-16 16:26:00,347
PC-2344,671,1,2010-01-04 07:21:00,2010-11-05 21:48:55,218
PC-2349,806,28,2010-01-04 07:54:00,2011-05-16 17:10:00,366
PC-2363,1048,22,2010-01-04 07:10:00,2011-05-16 17:10:00,346
PC-2368,756,22,2010-01-04 07:40:00,2011-05-16 16:41:00,346
PC-2370,774,31,2010-01-04 03:37:16,2011-05-16 17:14:53,346
PC-2381,744,22,2010-01-04 07:41:00,2011-05-16 17:40:00,347
PC-2393,758,23,2010-01-04 07:14:00,2011-05-16 17:12:00,346
PC-2408,388,23,2010-01-04 08:56:00,2010-08-24 16:54:00,165
PC-2417,1207,25,2010-01-02 07:50:00,2011-05-16 17:00:00,404
PC-2422,1026,25,2010-01-04 07:05:00,2011-05-16 16:24:00,347
PC-2439,772,26,2010-01-04 08:45:00,2011-05-16 18:00:00,347
PC-2441,772,29,2010-01-04 07:58:00,2011-05-16 17:02:00,347
PC-2461,756,24,2010-01-04 09:04:00,2011-05-16 21:14:00,346
PC-2462,788,32,2010-01-04 07:46:00,2011-05-16 17:56:00,347
PC-2464,392,22,2010-01-04 07:44:00,2010-08-25 15:40:00,165
PC-2479,778,31,2010-01-04 08:17:00,2011-05-16 19:26:00,349
PC-2499,1040,24,2010-01-04 08:25:00,2011-05-16 16:28:00,347
PC-2511,1050,28,2010-01-04 08:01:00,2011-05-16 21:21:45,346
PC-2512,460,20,2010-01-04 07:43:00,2010-10-15 17:54:00,202
PC-2524,482,1,2010-01-04 07:26:00,2010-12-10 20:22:04,239
PC-2531,894,30,2010-01-04 07:40:00,2011-05-16 20:46:36,384
PC-2550,1163,24,2010-01-04 08:21:00,2011-05-16 20:42:00,354
PC-2552,778,29,2010-01-04 07:25:00,2011-05-16 15:28:00,349
PC-2559,656,24,2010-01-04 09:00:00,2011-01-14 21:12:00,266
PC-2560,1176,31,2010-01-04 07:06:00,2011-05-16 17:16:00,356
PC-2567,762,27,2010-01-04 00:33:45,2011-05-16 18:05:00,346
PC-2574,758,26,2010-01-04 08:03:00,2011-05-16 17:12:00,346
PC-2582,788,27,2010-01-04 01:34:29,2011-05-16 17:48:00,347
PC-2638,346,17,2010-01-04 07:55:00,2010-08-03 17:54:00,150
PC-2640,762,27,2010-01-04 08:54:00,2011-05-16 17:55:00,346
PC-2645,588,25,2010-01-04 09:06:00,2011-01-14 21:11:00,261
PC-2661,336,17,2010-01-04 07:56:00,2010-07-27 17:00:00,144
PC-2662,778,30,2010-01-04 08:15:00,2011-05-16 16:20:00,347
PC-2674,774,29,2010-01-04 09:11:00,2011-05-16 18:12:00,346
PC-2684,762,23,2010-01-04 07:46:00,2011-05-16 17:57:00,346
PC-2690,758,26,2010-01-04 08:53:00,2011-05-16 18:56:00,347
PC-2697,1319,23,2010-01-03 07:48:00,2011-05-16 17:47:00,449
PC-2709,788,27,2010-01-04 07:57:00,2011-05-16 16:58:00,346
PC-2725,94,6,2010-01-04 08:47:00,2010-02-19 19:04:00,35
PC-2731,1069,29,2010-01-04 07:31:00,2011-05-16 15:43:00,353
PC-2744,502,15,2010-01-02 09:09:00,2010-09-10 18:23:00,235
PC-2763,244,11,2010-01-04 08:48:00,2010-06-08 16:57:00,110
PC-2765,782,26,2010-01-04 07:54:00,2011-05-16 18:01:00,346
PC-2766,784,27,2010-01-04 07:53:00,2011-05-16 16:55:00,346
PC-2768,782,29,2010-01-04 07:05:00,2011-05-16 18:00:00,346
PC-2770,756,24,2010-01-04 08:16:00,2011-05-16 19:32:00,346
PC-2775,90,7,2010-01-04 09:09:00,2010-02-11 18:21:00,29
PC-2777,1039,28,2010-01-04 07:34:00,2011-05-16 16:38:00,347
PC-2804,1207,26,2010-01-02 08:54:00,2011-05-16 18:54:00,405
PC-2806,1042,32,2010-01-04 07:12:00,2011-05-16 16:25:00,346
PC-2813,766,25,2010-01-04 09:08:00,2011-05-16 18:09:00,349
PC-2843,754,21,2010-01-04 07:44:00,2011-05-16 16:45:00,347
PC-2879,700,21,2010-01-04 07:57:00,2010-11-30 18:57:00,231
PC-2891,750,19,2010-01-04 07:08:00,2011-05-16 17:30:00,346
PC-2896,778,29,2010-01-04 08:49:00,2011-05-16 17:51:00,346
PC-2904,274,10,2010-01-04 07:39:00,2010-06-30 17:45:00,126
PC-2915,756,20,2010-01-04 07:24:00,2011-05-16 16:37:00,347
PC-2924,766,25,2010-01-04 07:10:00,2011-05-16 18:13:00,346
PC-2930,1019,20,2010-01-04 07:14:00,2011-05-16 17:16:00,346
PC-2940,1156,28,2010-01-04 08:04:00,2011-05-16 17:25:00,352
PC-2948,278,1,2010-01-04 07:15:00,2010-07-16 22:16:28,137
PC-2996,758,22,2010-01-04 07:09:00,2011-05-16 16:28:00,346
PC-3000,754,21,2010-01-04 08:24:00,2011-05-16 20:28:00,347
PC-3005,750,24,2010-01-04 08:12:00,2011-05-16 17:08:00,346
PC-3014,768,26,2010-01-04 08:26:00,2011-05-16 20:22:00,346
PC-3020,1048,30,2010-01-04 07:45:00,2011-05-16 16:43:00,346
PC-3054,756,24,2010-01-04 01:57:54,2011-05-16 17:30:00,346
PC-3093,770,22,2010-01-04 08:10:00,2011-05-16 17:15:00,347
PC-3094,742,18,2010-01-04 04:13:48,2011-05-16 17:20:00,346
PC-3118,1020,21,2010-01-04 07:49:00,2011-05-16 18:00:00,346
PC-3120,1017,22,2010-01-04 08:22:00,2011-05-16 20:33:00,346
PC-3124,794,29,2010-01-04 07:47:00,2011-05-16 17:58:00,348
PC-3126,768,27,2010-01-04 07:06:00,2011-05-16 18:13:00,346
PC-3135,1154,27,2010-01-04 06:45:00,2011-05-16 16:04:00,387
PC-3142,742,19,2010-01-04 08:00:00,2011-05-16 17:53:00,346
PC-3196,1021,28,2010-01-04 07:57:00,2011-05-16 17:15:00,346
PC-3201,514,23,2010-01-04 08:22:00,2010-11-24 19:44:00,229
PC-3227,776,26,2010-01-04 08:21:00,2011-05-16 19:28:00,346
PC-3233,1041,22,2010-01-04 08:46:00,2011-05-16 17:00:00,346
PC-3263,420,14,2010-01-04 07:47:00,2010-07-21 18:01:00,141
PC-3268,1033,22,2010-01-04 03:30:53,2011-05-16 17:58:00,347
PC-3285,788,27,2010-01-04 08:00:00,2011-05-16 17:21:00,349
PC-3291,1023,18,2010-01-04 07:00:00,2011-05-16 17:14:00,346
PC-3296,774,27,2010-01-04 07:58:00,2011-05-16 18:06:00,347
PC-3297,800,31,2010-01-04 07:47:00,2011-05-16 17:15:00,348
PC-3301,1042,24,2010-01-04 03:15:35,2011-05-16 16:26:00,346
PC-3311,1179,24,2010-01-04 07:35:00,2011-05-16 16:44:36,355
PC-3324,778,30,2010-01-04 07:29:00,2011-05-16 15:30:00,346
PC-3343,1042,27,2010-01-04 07:35:00,2011-05-16 15:39:00,348
PC-3372,564,22,2010-01-04 07:20:00,2010-12-22 15:33:00,248
PC-3375,754,24,2010-01-04 08:07:00,2011-05-16 17:12:00,346
PC-3378,770,28,2010-01-04 07:53:00,2011-05-16 17:51:00,346
PC-3379,770,24,2010-01-04 09:03:00,2011-05-16 21:10:00,346
PC-3401,550,18,2010-01-04 07:50:00,2010-12-30 18:00:00,252
PC-3406,780,29,2010-01-04 07:46:00,2011-05-16 17:12:00,347
PC-3424,774,29,2010-01-04 05:13:08,2011-05-16 16:44:00,348
PC-3430,758,21,2010-01-04 07:05:00,2011-05-16 16:11:00,347
PC-3446,1409,22,2010-01-02 07:08:00,2011-05-16 18:10:00,476
PC-3449,736,28,2010-01-04 09:15:00,2011-04-18 21:15:00,327
PC-3451,759,26,2010-01-04 08:08:00,2011-05-16 17:24:00,346
PC-3459,776,31,2010-01-04 02:43:49,2011-05-16 20:14:58,346
PC-3465,794,27,2010-01-04 07:49:00,2011-05-16 16:59:00,346
PC-3467,788,30,2010-01-04 08:26:00,2011-05-16 16:26:00,346
PC-3469,770,27,2010-01-04 09:09:00,2011-05-16 21:15:00,346
PC-3476,1070,30,2010-01-04 08:54:00,2011-05-16 16:46:00,346
PC-3494,756,23,2010-01-04 07:13:00,2011-05-16 17:09:00,347
PC-3505,770,26,2010-01-04 09:14:00,2011-05-16 21:14:00,346
PC-3534,766,22,2010-01-04 07:07:00,2011-05-16 16:19:00,348
PC-3543,772,27,2010-01-04 07:14:00,2011-05-16 18:22:00,346
PC-3559,768,26,2010-01-04 07:15:00,2011-05-16 15:28:00,347
PC-3567,752,24,2010-01-04 07:42:00,2011-05-16 15:36:00,346
PC-3571,1403,26,2010-01-02 08:55:00,2011-05-16 18:05:00,480
PC-3579,108,7,2010-01-04 07:59:00,2010-02-19 18:00:00,35
PC-3581,750,21,2010-01-04 07:18:00,2011-05-16 15:27:00,346
PC-3587,762,29,2010-01-04 08:19:00,2011-05-16 16:31:00,347
PC-3605,1040,26,2010-01-04 07:32:00,2011-05-16 16:41:00,348
PC-3620,1049,30,2010-01-04 07:47:00,2011-05-16 23:23:35,349
PC-3622,776,26,2010-01-04 07:58:00,2011-05-16 17:57:00,346
PC-3629,778,24,2010-01-04 07:55:00,2011-05-16 17:55:00,347
PC-3640,1360,28,2010-01-03 07:13:00,2011-05-16 16:15:00,453
PC-3651,728,23,2010-01-04 07:53:00,2011-04-26 18:13:00,332
PC-3672,484,1,2010-01-03 08:13:00,2010-10-04 04:18:44,239
PC-3675,772,29,2010-01-04 08:18:00,2011-05-16 18:30:00,347
PC-3682,1020,21,2010-01-04 07:56:00,2011-05-16 19:00:00,346
PC-3683,94,2,2010-01-03 08:53:00,2010-02-17 18:01:00,40
PC-3684,768,26,2010-01-04 07:56:00,2011-05-16 19:10:00,346
